,mean_imp_knn,mean_imp_lr,mean_imp_rf,gb
0,0.04947686195373535,0.005494594573974609,0.012790203094482422,0.0744016170501709
1,0.005109071731567383,0.0029184818267822266,0.02198624610900879,0.27599024772644043
2,0.008640766143798828,0.0029096603393554688,0.011925697326660156,0.23961591720581055
3,0.006814718246459961,0.0025882720947265625,0.02246832847595215,0.06616926193237305
4,0.004646778106689453,0.003548145294189453,0.022334575653076172,0.06824016571044922
5,0.009203195571899414,0.0026574134826660156,0.012151002883911133,0.06656765937805176
6,0.0052182674407958984,0.0032410621643066406,0.007249116897583008,0.06661725044250488
7,0.005071401596069336,0.002562999725341797,0.012940645217895508,0.06245851516723633
8,0.004395484924316406,0.0027463436126708984,0.007033348083496094,0.06464266777038574
9,0.008713245391845703,0.0029850006103515625,0.012408018112182617,0.0671682357788086
