,knn_imp_knn,knn_imp_lr,knn_imp_rf,br_imp_knn,br_imp_lr,br_imp_rf,mean_imp_knn,mean_imp_lr,mean_imp_rf,rf_imp_knn,rf_imp_lr,rf_imp_rf,gb
0,2.931441068649292,2.6004064083099365,2.544020652770996,0.46846652030944824,0.061339378356933594,0.0787498950958252,0.26349806785583496,0.003567934036254883,0.04211592674255371,1.9090135097503662,1.5997509956359863,1.656897783279419,0.08817720413208008
1,2.3077664375305176,1.9220900535583496,1.9660546779632568,0.2968258857727051,0.06082558631896973,0.13824868202209473,0.17310476303100586,0.005626201629638672,0.04085230827331543,1.8404834270477295,1.5533554553985596,1.660588026046753,0.045757293701171875
2,2.4691853523254395,2.301325559616089,2.29758882522583,0.32587552070617676,0.06575727462768555,0.14187955856323242,0.2815210819244385,0.005150556564331055,0.08933591842651367,2.020772933959961,1.6856365203857422,1.8179147243499756,0.06409573554992676
3,3.073758363723755,2.8153088092803955,2.9169788360595703,0.35257720947265625,0.06460452079772949,0.13325715065002441,0.2793233394622803,0.0036668777465820312,0.08270549774169922,1.8178658485412598,1.5672242641448975,1.6595876216888428,0.05375075340270996
4,2.6148295402526855,2.4130444526672363,2.471656322479248,0.36800646781921387,0.0672159194946289,0.14670634269714355,0.29170870780944824,0.00377655029296875,0.09097075462341309,2.0178768634796143,1.8140485286712646,1.9476757049560547,0.0917816162109375
5,2.251863956451416,2.0898630619049072,2.104372978210449,0.3136942386627197,0.0619509220123291,0.09786057472229004,0.23340320587158203,0.003603696823120117,0.04336667060852051,1.9101827144622803,1.5746288299560547,1.6734578609466553,0.22923898696899414
6,2.0138351917266846,1.8680315017700195,1.8763856887817383,0.25391626358032227,0.060613393783569336,0.1407172679901123,0.23732209205627441,0.003471851348876953,0.022565841674804688,1.8275742530822754,1.669114351272583,1.5851349830627441,0.1309053897857666
7,2.3809707164764404,2.2316250801086426,2.306586980819702,0.28865981101989746,0.06403851509094238,0.1349654197692871,0.2012956142425537,0.003659486770629883,0.043613433837890625,2.0207865238189697,1.6762266159057617,1.8578767776489258,0.1819288730621338
8,2.8371036052703857,2.6364376544952393,2.6564340591430664,0.26712560653686523,0.06112980842590332,0.13732481002807617,0.18445658683776855,0.0035219192504882812,0.07698202133178711,1.8381731510162354,1.665022611618042,1.671168565750122,0.1491861343383789
9,2.3190243244171143,2.0749478340148926,2.079733371734619,0.266660213470459,0.06224656105041504,0.1347792148590088,0.2457139492034912,0.0036163330078125,0.08368754386901855,1.9292731285095215,1.7492523193359375,1.7357268333435059,0.2532050609588623
